ChemicalName,description,preferredNames
Arsenic,Disease,"CYP26B1,SNAI2,B4GALT7,PSMA4,CLDN11,HSD17B10,CEACAM6,APOH,VCL,MIF,LGALS1,HMOX1,RIPK3,CTSG,RSPO4,FERMT1,AHCY,MMP2,APLP1,TGFB1,ICAM5,SULT2A1,PON1,CAV2,BLNK,MPO,COL1A1,CD82,APOC3,CYP27B1,COX6A1,ZBTB24,HBEGF,SPARC,IL4,LTF,EHHADH,MSH2,REEP6,BCL9,CCDC92,MSX2,DLX4,CAT,AHR,TWIST1,EGR2,B9D2,ATXN1,NR1D1,WNK4,RAC2,DNAJB9,CD68,TUBG1,KRT5,APOE,PXDN,SLC6A8,GFAP,ATP6V1E1,RIN2,PABPC1L,CHRM3,RFXAP,KRAS,NOTCH2,PHC2,TCN1,CEP135,OASL,AKIRIN2,WNT10A,CYP27A1,ALPK3,BLK,IL1RN,GYPC,GABBR2,RPL35,POU5F1,KIF11,BARD1,SLC40A1,GUCY2C,MSMO1,RORA,CYBA,PDGFRB,SLC30A4,RAB11A,SMAD7,SMAD2,KMT2C,RHBDF1,CREBBP,KCNQ4,MAP3K8,IL1B,C9,BIRC3,PALD1,FOXRED1,CHMP2B,CDH3,ARHGAP31,YWHAE,PCDH10,MECOM,CAD,NPR3,NRXN2,CPT1A,ANK1,CDK6,EXPH5,KCNC1,HYAL1,CACNA1C,LUM,KRT71,TRIP11,CYP11A1,CBFA2T3,GATA6,SOD1,PRDM16,RHOB,RPS27A,MEIS1,OTOF,RASA1,ARHGAP26,EGFR,EPHA1,ATM,FERMT3,TM7SF2,WDR17,FSIP1,DSC2,FER,PABPC3,TRIM36,CCNO,PLOD2,JAZF1,THY1,JPH3,ANKH,APP,ADAMTS5,KCNMA1,GDF6,KAT6B,NRG1,WNT4,PSMB4,CALM3,NR2F6,CRYAA,PDXK,PWP2,WDR90,TAL1,WDFY3,PF4,SHROOM3,CAMP,HHIP,WDFY2,PKNOX2,HPRT1,ANPEP,AGFG2,ANKRD11,SLC39A4,ANTXR1,MFF,KLF13,DCXR,INSR,GP9,MN1,HOMER2,BMP1,IL7R,FOS,YWHAG,RAB33B,ASPSCR1,CDCA7,AHSP,KRT74,CALB2,GLUL,DST,RPL15,TERT,MLC1,KCNE3,KRT2,COQ2,SLCO2A1,ASPHD1,RAB6A,GSTM1,SPEG,CTBP2,SLC37A2,TLR8,TRIB1,EVX2,DAB2,UNCX,ALOXE3,ITGA3,MET,GLS,NEUROG1,RPS15A,SLC25A22,CRTAP,COL12A1,FBN1,SLC25A20,VIPR1,SULT4A1,NEXN,RASA3,FIP1L1,NXN,ELAC2,SUV39H1,PLCB1,TUBB,HLA-DQA1,ACSL4,FGFR3,PARK7,DLK1,ACVR2B,TRIM24,MAPT,MEF2C,TUBB4B,B4GALNT1,SOX18,SLPI,RBM5,DOK7,TMEM201,NFASC,CRTC1,SHANK2,EPB41,VAPA,CTSB,DMPK,RPL21,NDUFV3,FN1,PDE5A,HTT,MORC4,STK39,PXK,AKAP9,RPS26,PIGR,PEX14,ARG1,ANK2,LRBA,APOA4,SYNE2,NR3C2,TPM1,DCAF4,CASP8,VCP,CACNA1G,KCNQ2,DNMT1,PCNT,COL18A1,PTPRF,HLA-DRB1,SCNN1A,ETS2,MSN,MYLK,COL4A2,PCMTD1,LONP1,DNAJC5,EIF3B,PNP,MACF1,MAST2,CALD1,NFE2L1,ILF2,SCAMP5,CNST,IBA57,CENPF,SYNE1,NR5A2,TAB2,UTRN,IFNGR1,NDUFS2,NECTIN4,FCER1A,SEMA4A,S100A8,S100A12,IVL,SCNM1,MLLT11,TACC2,PRDM1,GPR89B,FBXL4,CD58,DPYD,CHRNA4,RPL5,OGFRL1,GPC4,ROR1,NFIA,DHCR24,PLCE1,RBP4,CPT2,GRIN1,KCNT1,SARDH,ARFGEF2,NRG3,RAPGEF1,MMP9,DLG5,COL9A2,CNPY3,MAFB,PGK1,ZBTB43,DENND1A,GSN,EXTL1,LDLRAP1,ALPL,HLA-DRB5,NOTCH4,FOXP3,HLA-C,MOG,THBD,FTL,SLC2A5,DPP6,SLC3A2,NPHP4,TP73,GNB1,BMP2,SAT1,LY86,KRT6A,BEND2,SLC4A11,TLR7,BNC2,CD99,ITPR2,JAK2,YWHAQ,GPNMB,IFNGR2,SLC34A2,AMACR,KCNQ3,DIAPH1,TBR1,LYST,NLRP12,STX2,TFRC,CIT,WIPF1,ETS1,PDCD10,IGF1,VWA2,POU2AF1,BPGM,PDGFD,G6PD,KRT15,FAT4,PPP2R2B,PSAP,SLC16A9,HLA-DRA,ZNF169,CXCL12,GLI3,RPS29,PDE1C,SLC7A7,ASCC2,ARHGEF12,CTDSP2,BCL2,CBS,CST3,RADIL,EPHB2,GP1BB,KCTD1,ADCY3,CDKN1A,MAD1L1,OBSL1,SCN9A,MYO7A,IL1R1,CD8A,RPL31,CXCR4,CEP19,PSTPIP2,DLX3,GLI2,TKT,AMER3,EPS15L1,HLA-DPA1,FGF13,DHFR,NFIC,GTF2IRD1,PRF1,HLA-DMB,HLA-B,SLC22A5,AP2M1,CC2D2A,LTA,ESR1,ZNF837,SLC13A5,FAT1,MUC6,ZBTB22,GAS7,HLA-DPB1,PRKCA,ANO6,ZFYVE27,SYNJ1,IGF2BP2,ERLIN1,IL10,NAT8L,CDKN1C,BDNF,RPS24,CD36,SLC2A1,TGFBI,VAPB,VWA1,RAB23,MME,TFR2,PDGFC,ADAMTS12,TENM3,FBN2,NEDD4,RAI14,SLC45A4,LYN,MYBL1,SLC24A4,CAPN1,SPTBN2,PTPRK,KCNJ5,FLI1,FGD4,MAML2,TSKU,CLP1,EPS8L2,GATA4,PHC1,CCDC91,MARVELD1,DMXL2,ORC4,TMTC1,PCYT2,TET2,APC2,FKBP5,ATXN2,DDIT3,DNM1L,ITGA7,ZNF592,LDLR,WFDC1,PECAM1,RBFOX3,ADAP2,RPL36,RPL27,RPS15,COX6B1,WBP2,KANK2,RPS19,RPS28,MTRNR2L6,SLC37A4,GCH1,ABCB1,CYP1B1,YAP1,MLLT6,NCAM1,LRMDA,TCHH,SRRM3,CCNA2,FAM83D,TNFAIP3,RPS10,NEFL,MYH7B,CTDP1,ZNHIT3,MUC1,CIITA,MUC5AC,ZEB2,RYR3,SHANK3,ATP6AP2,HNRNPU,GRB10,FOXC1,MUC2,TBC1D24,RPL9,PITX2,RPS7,ALDOA,BCL11A,IGF1R,ITM2B,MYT1L,GCLC,CDC42,ALOX12B,B2M,RPS17,CAPN5,MTUS2,MYD88,FGA,TPM3,RPS27,SLMAP,CALM1,BTD,SNCA"
Arsenic,Diamond-Blackfan anemia,"RPL35,RPS27A,RPL15,RPS15A,RPS26,RPL5,ZBTB43,RPS29,RPL31,RPS24,RPL36,RPL27,RPS15,RPS19,RPS28,RPS10,RPL9,RPS7,RPS17,RPS27"
Arsenic,Cancer,"CEACAM6,LGALS1,TGFB1,SULT2A1,MPO,COL1A1,CD82,IL4,MSH2,BCL9,CD68,KRT5,APOE,KRAS,PHC2,POU5F1,BARD1,PDGFRB,SMAD7,KMT2C,CREBBP,MAP3K8,IL1B,BIRC3,YWHAE,MECOM,CDK6,CBFA2T3,GATA6,RHOB,RASA1,ARHGAP26,EGFR,ATM,FER,JAZF1,NRG1,NR2F6,TAL1,ANPEP,AGFG2,MFF,MN1,FOS,ASPSCR1,CALB2,TERT,TLR8,DAB2,UNCX,MET,NEUROG1,FIP1L1,ELAC2,FGFR3,PARK7,TRIM24,CRTC1,APOA4,CASP8,VCP,PCNT,ETS2,CALD1,ILF2,NR5A2,S100A8,MLLT11,TACC2,PLCE1,MAFB,TP73,BEND2,TLR7,CD99,JAK2,AMACR,ETS1,POU2AF1,PDGFD,KRT15,ASCC2,ARHGEF12,BCL2,RADIL,EPHB2,CDKN1A,MAD1L1,CD8A,CXCR4,GLI2,HLA-B,ESR1,ZNF837,FAT1,MUC6,GAS7,PRKCA,ZFYVE27,IL10,CDKN1C,MME,LYN,MYBL1,PTPRK,FLI1,MAML2,TET2,DDIT3,PECAM1,ABCB1,YAP1,MLLT6,NCAM1,TCHH,CCNA2,FAM83D,MYH7B,MUC5AC,MUC2,B2M,MTUS2,MYD88,TPM3"
Arsenic,Integumentary system disease,"SNAI2,MIF,RSPO4,FERMT1,MPO,CYP27B1,IL4,MSH2,CD68,KRT5,APOE,ATP6V1E1,RIN2,CHRM3,KRAS,WNT10A,IL1RN,CYBA,IL1B,C9,CDH3,EXPH5,KRT71,EGFR,ATM,FERMT3,DSC2,KAT6B,NR2F6,CAMP,SLC39A4,ANTXR1,KRT74,DST,TERT,KRT2,GSTM1,TLR8,ALOXE3,ITGA3,FBN1,TUBB,HLA-DQA1,FGFR3,SOX18,CRTC1,RPL21,APOA4,CASP8,COL18A1,HLA-DRB1,SCNN1A,CALD1,FCER1A,IVL,GSN,HLA-DRB5,NOTCH4,HLA-C,SAT1,LY86,KRT6A,TLR7,ITPR2,GPNMB,LYST,IGF1,G6PD,KRT15,HLA-DRA,CST3,CD8A,HLA-DPA1,HLA-DMB,HLA-B,LTA,HLA-DPB1,IL10,SLC45A4,KANK2,MTRNR2L6,TCHH,TNFAIP3,ATP6AP2,ALOX12B"
Arsenic,Disease of cellular proliferation,"CEACAM6,LGALS1,TGFB1,SULT2A1,MPO,COL1A1,CD82,IL4,MSH2,BCL9,CD68,KRT5,APOE,KRAS,PHC2,POU5F1,BARD1,PDGFRB,SMAD7,KMT2C,CREBBP,MAP3K8,IL1B,BIRC3,YWHAE,MECOM,CDK6,CBFA2T3,GATA6,RHOB,RASA1,ARHGAP26,EGFR,ATM,FER,JAZF1,NRG1,WNT4,NR2F6,TAL1,ANPEP,AGFG2,MFF,MN1,FOS,ASPSCR1,CALB2,GLUL,TERT,TLR8,DAB2,UNCX,MET,NEUROG1,FIP1L1,ELAC2,FGFR3,PARK7,TRIM24,CRTC1,APOA4,NR3C2,CASP8,VCP,PCNT,ETS2,CALD1,ILF2,NR5A2,S100A8,IVL,MLLT11,TACC2,OGFRL1,PLCE1,MAFB,TP73,BEND2,TLR7,CD99,JAK2,AMACR,ETS1,IGF1,POU2AF1,PDGFD,KRT15,ASCC2,ARHGEF12,BCL2,RADIL,EPHB2,CDKN1A,MAD1L1,CD8A,CXCR4,GLI2,HLA-B,ESR1,ZNF837,FAT1,MUC6,GAS7,PRKCA,ZFYVE27,IL10,CDKN1C,SLC2A1,MME,LYN,MYBL1,PTPRK,KCNJ5,FLI1,MAML2,TET2,APC2,DDIT3,PECAM1,ABCB1,YAP1,MLLT6,NCAM1,TCHH,CCNA2,FAM83D,MYH7B,MUC5AC,MUC2,B2M,MTUS2,MYD88,TPM3"
Arsenic,Skin disease,"MIF,FERMT1,MPO,CYP27B1,IL4,MSH2,CD68,KRT5,APOE,ATP6V1E1,RIN2,CHRM3,KRAS,WNT10A,IL1RN,CYBA,IL1B,C9,EXPH5,EGFR,ATM,FERMT3,DSC2,KAT6B,NR2F6,CAMP,SLC39A4,ANTXR1,DST,TERT,KRT2,GSTM1,TLR8,ALOXE3,ITGA3,FBN1,TUBB,HLA-DQA1,FGFR3,CRTC1,APOA4,CASP8,COL18A1,HLA-DRB1,SCNN1A,CALD1,FCER1A,IVL,GSN,HLA-DRB5,NOTCH4,HLA-C,SAT1,LY86,KRT6A,TLR7,ITPR2,GPNMB,IGF1,G6PD,KRT15,HLA-DRA,CST3,CD8A,HLA-DPA1,HLA-DMB,HLA-B,LTA,HLA-DPB1,IL10,SLC45A4,KANK2,MTRNR2L6,TCHH,TNFAIP3,ATP6AP2,ALOX12B"
Arsenic,Hematopoietic system disease,"FERMT1,MPO,CYP27B1,IL4,KRT5,KRAS,RPL35,PDGFRB,IL1B,BIRC3,ANK1,CBFA2T3,RPS27A,FERMT3,KAT6B,TAL1,PF4,CAMP,WDFY2,ANPEP,GP9,AHSP,RPL15,UNCX,RPS15A,FIP1L1,ACSL4,FGFR3,EPB41,RPS26,ANK2,LRBA,CASP8,RPL5,PGK1,ZBTB43,THBD,CD99,JAK2,PDCD10,BPGM,G6PD,RPS29,BCL2,GP1BB,CD8A,RPL31,CXCR4,ANO6,IL10,RPS24,CD36,SLC2A1,MME,TET2,RPL36,RPL27,RPS15,RPS19,RPS28,NCAM1,RPS10,RPL9,RPS7,ALDOA,BCL11A,GCLC,B2M,RPS17,MYD88,FGA,RPS27"
Arsenic,Organ system cancer,"LGALS1,TGFB1,MPO,COL1A1,CD82,IL4,MSH2,CD68,KRT5,APOE,KRAS,PHC2,POU5F1,BARD1,PDGFRB,SMAD7,KMT2C,CREBBP,MAP3K8,IL1B,BIRC3,YWHAE,CDK6,CBFA2T3,RHOB,RASA1,EGFR,ATM,JAZF1,NRG1,NR2F6,TAL1,ANPEP,AGFG2,MFF,MN1,ASPSCR1,CALB2,TERT,TLR8,UNCX,MET,NEUROG1,FIP1L1,ELAC2,FGFR3,CRTC1,APOA4,CASP8,VCP,PCNT,CALD1,NR5A2,S100A8,TACC2,PLCE1,BEND2,TLR7,CD99,JAK2,AMACR,KRT15,ASCC2,BCL2,RADIL,EPHB2,CDKN1A,MAD1L1,CD8A,CXCR4,GLI2,HLA-B,ESR1,ZNF837,FAT1,MUC6,PRKCA,ZFYVE27,IL10,CDKN1C,MME,MYBL1,FLI1,TET2,PECAM1,ABCB1,YAP1,NCAM1,TCHH,CCNA2,MUC5AC,MUC2,B2M,MTUS2,MYD88"
Arsenic,Anemia,"RPL35,ANK1,RPS27A,RPL15,RPS15A,ACSL4,EPB41,RPS26,ANK2,LRBA,RPL5,PGK1,ZBTB43,JAK2,BPGM,G6PD,RPS29,RPL31,RPS24,SLC2A1,RPL36,RPL27,RPS15,RPS19,RPS28,RPS10,RPL9,RPS7,ALDOA,BCL11A,GCLC,RPS17,RPS27"
Arsenic,Aplastic anemia,"RPL35,RPS27A,RPL15,RPS15A,RPS26,RPL5,ZBTB43,JAK2,RPS29,RPL31,RPS24,RPL36,RPL27,RPS15,RPS19,RPS28,RPS10,RPL9,RPS7,RPS17,RPS27"
Arsenic,Physical disorder,"B4GALT7,RSPO4,MSX2,DLX4,CD68,TUBG1,CEP135,RPL35,KIF11,RAB11A,SMAD2,CDH3,CAD,ANK1,CDK6,CYP11A1,GATA6,RPS27A,GDF6,KAT6B,PWP2,WDFY3,SHROOM3,CAMP,RPL15,ALOXE3,RPS15A,COL12A1,FBN1,ACSL4,ACVR2B,TUBB4B,DOK7,EPB41,RPS26,ANK2,SYNE2,DCAF4,MACF1,CNST,RPL5,ARFGEF2,MAFB,PGK1,ZBTB43,NPHP4,TP73,SLC4A11,CIT,BPGM,G6PD,GLI3,RPS29,CTDSP2,MYO7A,RPL31,GLI2,CDKN1C,RPS24,SLC2A1,FBN2,GATA4,PHC1,APC2,ITGA7,RPL36,RPL27,RPS15,RPS19,RPS28,SLC37A4,CYP1B1,RPS10,RYR3,ATP6AP2,GRB10,FOXC1,MUC2,RPL9,RPS7,ALDOA,BCL11A,GCLC,ALOX12B,RPS17,FGA,TPM3,RPS27"
Arsenic,Immune system disease,"APOH,MIF,RIPK3,FERMT1,BLNK,MPO,CYP27B1,IL4,RAC2,CD68,KRT5,APOE,PXDN,RFXAP,KRAS,AKIRIN2,BLK,IL1RN,CYBA,IL1B,C9,BIRC3,FERMT3,TAL1,IL7R,DST,HLA-DQA1,SOX18,NFASC,CRTC1,FN1,PXK,PIGR,LRBA,CASP8,COL18A1,HLA-DRB1,MSN,PNP,IFNGR1,PRDM1,CD58,HLA-DRB5,NOTCH4,FOXP3,HLA-C,MOG,THBD,TLR7,CD99,JAK2,IFNGR2,LYST,NLRP12,VWA2,FAT4,HLA-DRA,CXCL12,BCL2,IL1R1,CD8A,CXCR4,CEP19,HLA-DPA1,PRF1,HLA-DMB,HLA-B,LTA,HLA-DPB1,IL10,MME,MYBL1,TMTC1,TET2,PECAM1,ABCB1,NCAM1,TNFAIP3,NEFL,MUC1,CIITA,B2M,MYD88"
Arsenic,Central nervous system disease,"CLDN11,HSD17B10,APLP1,ICAM5,CYP27B1,COX6A1,IL4,EGR2,B9D2,ATXN1,CD68,APOE,GFAP,GABBR2,RORA,KCNQ4,IL1B,PALD1,CHMP2B,YWHAE,PCDH10,CAD,NRXN2,KCNC1,SOD1,PRDM16,MEIS1,EGFR,ATM,JPH3,APP,KCNMA1,PDXK,PKNOX2,MN1,IL7R,YWHAG,DST,TERT,MLC1,COQ2,GLS,NEUROG1,SLC25A22,PLCB1,HLA-DQA1,PARK7,MAPT,MEF2C,B4GALNT1,NFASC,VAPA,CTSB,HTT,VCP,CACNA1G,KCNQ2,DNMT1,HLA-DRB1,COL4A2,DNAJC5,IBA57,SYNE1,SCNM1,CHRNA4,PLCE1,GRIN1,KCNT1,MMP9,CNPY3,ZBTB43,FOXP3,MOG,FTL,DPP6,NPHP4,BEND2,CD99,YWHAQ,KCNQ3,DIAPH1,PDCD10,PPP2R2B,PSAP,BCL2,CBS,CST3,SCN9A,CD8A,GLI2,TKT,FGF13,AP2M1,CC2D2A,SLC13A5,PRKCA,ZFYVE27,SYNJ1,ERLIN1,IL10,NAT8L,BDNF,SLC2A1,VAPB,MME,MYBL1,CAPN1,SPTBN2,TSKU,CLP1,DMXL2,PCYT2,ATXN2,ZNF592,RBFOX3,GCH1,YAP1,NEFL,ZNHIT3,ZEB2,ATP6AP2,HNRNPU,FOXC1,TBC1D24,ITM2B,MYD88,SNCA"
Arsenic,Cell type cancer,"SULT2A1,MSH2,CD68,KRT5,APOE,KRAS,POU5F1,KMT2C,CDK6,GATA6,EGFR,ATM,JAZF1,NR2F6,MN1,ASPSCR1,CALB2,TERT,TLR8,MET,FGFR3,CRTC1,APOA4,CASP8,VCP,CALD1,ILF2,NR5A2,S100A8,TACC2,PLCE1,BEND2,TLR7,CD99,AMACR,KRT15,ASCC2,BCL2,RADIL,CD8A,ESR1,ZNF837,FAT1,MUC6,PRKCA,CDKN1C,MME,MYBL1,PTPRK,FLI1,MAML2,PECAM1,YAP1,NCAM1,TCHH,MYH7B,MUC5AC,MUC2,B2M,MTUS2"
Arsenic,Nervous system disease,"CLDN11,HSD17B10,LGALS1,APLP1,ICAM5,CAV2,MPO,COL1A1,CYP27B1,COX6A1,IL4,LTF,REEP6,AHR,EGR2,B9D2,ATXN1,CD68,TUBG1,APOE,GFAP,CEP135,WNT10A,CYP27A1,IL1RN,GABBR2,KIF11,BARD1,MSMO1,RORA,KCNQ4,IL1B,C9,PALD1,CHMP2B,YWHAE,PCDH10,CAD,NRXN2,CDK6,KCNC1,LUM,KRT71,SOD1,PRDM16,MEIS1,OTOF,RASA1,EGFR,ATM,WDR17,JPH3,APP,KCNMA1,GDF6,KAT6B,CRYAA,PDXK,PWP2,WDFY3,PKNOX2,MN1,HOMER2,IL7R,YWHAG,DST,TERT,MLC1,COQ2,GSTM1,CTBP2,MET,GLS,NEUROG1,SLC25A22,FBN1,RASA3,PLCB1,HLA-DQA1,PARK7,MAPT,MEF2C,TUBB4B,B4GALNT1,DOK7,NFASC,CRTC1,VAPA,CTSB,DMPK,PDE5A,HTT,SYNE2,DCAF4,VCP,CACNA1G,KCNQ2,DNMT1,COL18A1,HLA-DRB1,COL4A2,PCMTD1,LONP1,DNAJC5,MACF1,IBA57,SYNE1,SEMA4A,S100A12,SCNM1,DPYD,CHRNA4,ROR1,PLCE1,RBP4,GRIN1,KCNT1,ARFGEF2,MMP9,COL9A2,CNPY3,ZBTB43,GSN,LDLRAP1,FOXP3,MOG,FTL,DPP6,NPHP4,TP73,BEND2,SLC4A11,CD99,YWHAQ,GPNMB,KCNQ3,DIAPH1,CIT,PDCD10,IGF1,PPP2R2B,PSAP,PDE1C,CTDSP2,BCL2,CBS,CST3,SCN9A,MYO7A,CD8A,GLI2,TKT,FGF13,HLA-B,AP2M1,CC2D2A,SLC13A5,GAS7,PRKCA,ZFYVE27,SYNJ1,ERLIN1,IL10,NAT8L,BDNF,SLC2A1,TGFBI,VAPB,VWA1,MME,TENM3,FBN2,MYBL1,CAPN1,SPTBN2,FGD4,TSKU,CLP1,EPS8L2,PHC1,MARVELD1,DMXL2,PCYT2,APC2,ATXN2,DNM1L,ZNF592,WFDC1,PECAM1,RBFOX3,WBP2,GCH1,CYP1B1,YAP1,LRMDA,SRRM3,CCNA2,NEFL,CTDP1,ZNHIT3,ZEB2,ATP6AP2,HNRNPU,FOXC1,TBC1D24,PITX2,ITM2B,CAPN5,MYD88,SNCA"
