term,description
EFO:1001870,Late-onset Alzheimers disease
HP:0000002,Abnormality of body height
HP:0000008,Abnormal morphology of female internal genitalia
HP:0000009,Functional abnormality of the bladder
HP:0000014,Abnormality of the bladder
HP:0000023,Inguinal hernia
HP:0000032,Abnormality of male external genitalia
HP:0000035,Abnormal testis morphology
HP:0000047,Hypospadias
HP:0000065,Labial hypertrophy
HP:0000069,Abnormality of the ureter
HP:0000077,Abnormality of the kidney
HP:0000078,Abnormality of the genital system
HP:0000079,Abnormality of the urinary system
HP:0000080,Abnormality of reproductive system physiology
HP:0000083,Renal insufficiency
HP:0000085,Horseshoe kidney
HP:0000093,Proteinuria
HP:0000095,Abnormal renal glomerulus morphology
HP:0000098,Tall stature
HP:0000104,Renal agenesis
HP:0000118,Phenotypic abnormality
HP:0000119,Abnormality of the genitourinary system
HP:0000126,Hydronephrosis
HP:0000137,Abnormality of the ovary
HP:0000140,Abnormality of the menstrual cycle
HP:0000152,Abnormality of head or neck
HP:0000153,Abnormality of the mouth
HP:0000155,Oral ulcer
HP:0000159,Abnormal lip morphology
HP:0000160,Narrow mouth
HP:0000163,Abnormal oral cavity morphology
HP:0000164,Abnormality of the dentition
HP:0000166,Severe periodontitis
HP:0000168,Abnormality of the gingiva
HP:0000174,Abnormal palate morphology
HP:0000175,Cleft palate
HP:0000177,Abnormal upper lip morphology
HP:0000178,Abnormal lower lip morphology
HP:0000185,Cleft soft palate
HP:0000189,Narrow palate
HP:0000202,Oral cleft
HP:0000212,Gingival overgrowth
HP:0000218,High palate
HP:0000219,Thin upper lip vermilion
HP:0000225,Gingival bleeding
HP:0000232,Everted lower lip vermilion
HP:0000233,Thin vermilion border
HP:0000234,Abnormality of the head
HP:0000235,Abnormality of the fontanelles or cranial sutures
HP:0000239,Large fontanelles
HP:0000240,Abnormality of skull size
HP:0000246,Sinusitis
HP:0000248,Brachycephaly
HP:0000252,Microcephaly
HP:0000262,Turricephaly
HP:0000271,Abnormality of the face
HP:0000272,Malar flattening
HP:0000277,Abnormal mandible morphology
HP:0000278,Retrognathia
HP:0000286,Epicanthus
HP:0000290,Abnormality of the forehead
HP:0000294,Low anterior hairline
HP:0000301,Abnormality of facial musculature
HP:0000306,Abnormality of the chin
HP:0000307,Pointed chin
HP:0000309,Abnormal midface morphology
HP:0000315,Abnormality of the orbital region
HP:0000316,Hypertelorism
HP:0000325,Triangular face
HP:0000326,Abnormality of the maxilla
HP:0000327,Hypoplasia of the maxilla
HP:0000337,Broad forehead
HP:0000343,Long philtrum
HP:0000347,Micrognathia
HP:0000350,Small forehead
HP:0000356,Abnormality of the outer ear
HP:0000357,Abnormal location of ears
HP:0000363,Abnormal earlobe morphology
HP:0000366,Abnormality of the nose
HP:0000369,Low-set ears
HP:0000377,Abnormal pinna morphology
HP:0000421,Epistaxis
HP:0000422,Abnormal nasal bridge morphology
HP:0000431,Wide nasal bridge
HP:0000446,Narrow nasal bridge
HP:0000453,Choanal atresia
HP:0000457,Depressed nasal ridge
HP:0000465,Webbed neck
HP:0000470,Short neck
HP:0000478,Abnormality of the eye
HP:0000481,Abnormal cornea morphology
HP:0000482,Microcornea
HP:0000486,Strabismus
HP:0000488,Retinopathy
HP:0000492,Abnormal eyelid morphology
HP:0000494,Downslanted palpebral fissures
HP:0000496,Abnormality of eye movement
HP:0000499,Abnormal eyelash morphology
HP:0000501,Glaucoma
HP:0000502,Abnormal conjunctiva morphology
HP:0000504,Abnormality of vision
HP:0000506,Telecanthus
HP:0000508,Ptosis
HP:0000509,Conjunctivitis
HP:0000517,Abnormal lens morphology
HP:0000518,Cataract
HP:0000519,Developmental cataract
HP:0000520,Proptosis
HP:0000525,Abnormality iris morphology
HP:0000539,Abnormality of refraction
HP:0000549,Abnormal conjugate eye movement
HP:0000553,Abnormal uvea morphology
HP:0000558,Rieger anomaly
HP:0000568,Microphthalmia
HP:0000589,Coloboma
HP:0000591,Abnormal sclera morphology
HP:0000592,Blue sclerae
HP:0000598,Abnormality of the ear
HP:0000599,Abnormality of the frontal hairline
HP:0000606,Abnormality of the periorbital region
HP:0000609,Optic nerve hypoplasia
HP:0000612,Iris coloboma
HP:0000643,Blepharospasm
HP:0000651,Diplopia
HP:0000670,Carious teeth
HP:0000678,Dental crowding
HP:0000684,Delayed eruption of teeth
HP:0000685,Hypoplasia of teeth
HP:0000691,Microdontia
HP:0000692,Tooth malposition
HP:0000695,Natal tooth
HP:0000696,Delayed eruption of permanent teeth
HP:0000704,Periodontitis
HP:0000707,Abnormality of the nervous system
HP:0000708,Behavioral abnormality
HP:0000709,Psychosis
HP:0000711,Restlessness
HP:0000712,Emotional lability
HP:0000713,Agitation
HP:0000716,Depression
HP:0000726,Dementia
HP:0000727,Frontal lobe dementia
HP:0000734,Disinhibition
HP:0000735,Impaired social interactions
HP:0000737,Irritability
HP:0000738,Hallucinations
HP:0000739,Anxiety
HP:0000741,Apathy
HP:0000745,Diminished motivation
HP:0000746,Delusions
HP:0000751,Personality changes
HP:0000759,Abnormal peripheral nervous system morphology
HP:0000763,Sensory neuropathy
HP:0000765,Abnormal thorax morphology
HP:0000766,Abnormal sternum morphology
HP:0000767,Pectus excavatum
HP:0000782,Abnormal scapula morphology
HP:0000790,Hematuria
HP:0000793,Membranoproliferative glomerulonephritis
HP:0000795,Abnormality of the urethra
HP:0000799,Renal steatosis
HP:0000800,Cystic renal dysplasia
HP:0000802,Impotence
HP:0000811,Abnormal external genitalia
HP:0000812,Abnormal internal genitalia
HP:0000818,Abnormality of the endocrine system
HP:0000820,Abnormality of the thyroid gland
HP:0000821,Hypothyroidism
HP:0000822,Hypertension
HP:0000823,Delayed puberty
HP:0000826,Precocious puberty
HP:0000912,Sprengel anomaly
HP:0000924,Abnormality of the skeletal system
HP:0000925,Abnormality of the vertebral column
HP:0000927,Abnormality of skeletal maturation
HP:0000929,Abnormal skull morphology
HP:0000932,Abnormal posterior cranial fossa morphology
HP:0000938,Osteopenia
HP:0000939,Osteoporosis
HP:0000940,Abnormal diaphysis morphology
HP:0000944,Abnormal metaphysis morphology
HP:0000951,Abnormality of the skin
HP:0000952,Jaundice
HP:0000953,Hyperpigmentation of the skin
HP:0000962,Hyperkeratosis
HP:0000963,Thin skin
HP:0000964,Eczema
HP:0000965,Cutis marmorata
HP:0000967,Petechiae
HP:0000969,Edema
HP:0000973,Cutis laxa
HP:0000974,Hyperextensible skin
HP:0000976,Eczematoid dermatitis
HP:0000977,Soft skin
HP:0000978,Bruising susceptibility
HP:0000979,Purpura
HP:0000980,Pallor
HP:0000988,Skin rash
HP:0000989,Pruritus
HP:0000991,Xanthomatosis
HP:0001000,Abnormality of skin pigmentation
HP:0001001,Abnormality of subcutaneous fat tissue
HP:0001005,Dermatological manifestations of systemic disorders
HP:0001030,Fragile skin
HP:0001034,Hypermelanotic macule
HP:0001045,Vitiligo
HP:0001057,Aplasia cutis congenita
HP:0001072,Thickened skin
HP:0001075,Atrophic scars
HP:0001080,Biliary tract abnormality
HP:0001084,Corneal arcus
HP:0001087,Developmental glaucoma
HP:0001098,Abnormal fundus morphology
HP:0001114,Xanthelasma
HP:0001120,Abnormality of corneal size
HP:0001149,Lattice corneal dystrophy
HP:0001152,Saccadic smooth pursuit
HP:0001155,Abnormality of the hand
HP:0001167,Abnormality of finger
HP:0001171,Split hand
HP:0001172,Abnormal thumb morphology
HP:0001197,Abnormality of prenatal development or birth
HP:0001199,Triphalangeal thumb
HP:0001211,Abnormal fingertip morphology
HP:0001227,Abnormality of the thenar eminence
HP:0001231,Abnormal fingernail morphology
HP:0001238,Slender finger
HP:0001249,Intellectual disability
HP:0001250,Seizure
HP:0001251,Ataxia
HP:0001252,Hypotonia
HP:0001254,Lethargy
HP:0001257,Spasticity
HP:0001259,Coma
HP:0001260,Dysarthria
HP:0001263,Global developmental delay
HP:0001268,Mental deterioration
HP:0001273,Abnormal corpus callosum morphology
HP:0001276,Hypertonia
HP:0001278,Orthostatic hypotension
HP:0001287,Meningitis
HP:0001288,Gait disturbance
HP:0001289,Confusion
HP:0001297,Stroke
HP:0001298,Encephalopathy
HP:0001300,Parkinsonism
HP:0001305,Dandy-Walker malformation
HP:0001317,Abnormal cerebellum morphology
HP:0001324,Muscle weakness
HP:0001332,Dystonia
HP:0001336,Myoclonus
HP:0001337,Tremor
HP:0001342,Cerebral hemorrhage
HP:0001347,Hyperreflexia
HP:0001363,Craniosynostosis
HP:0001367,Abnormal joint morphology
HP:0001369,Arthritis
HP:0001371,Flexion contracture
HP:0001373,Joint dislocation
HP:0001376,Limitation of joint mobility
HP:0001382,Joint hypermobility
HP:0001386,Joint swelling
HP:0001392,Abnormality of the liver
HP:0001394,Cirrhosis
HP:0001396,Cholestasis
HP:0001402,Hepatocellular carcinoma
HP:0001410,Decreased liver function
HP:0001413,Micronodular cirrhosis
HP:0001421,Abnormality of the musculature of the hand
HP:0001433,Hepatosplenomegaly
HP:0001438,Abnormal abdomen morphology
HP:0001446,Abnormality of the musculature of the upper limbs
HP:0001482,Subcutaneous nodule
HP:0001488,Bilateral ptosis
HP:0001500,Broad finger
HP:0001507,Growth abnormality
HP:0001508,Failure to thrive
HP:0001510,Growth delay
HP:0001518,Small for gestational age
HP:0001539,Omphalocele
HP:0001541,Ascites
HP:0001574,Abnormality of the integument
HP:0001581,Recurrent skin infections
HP:0001595,Abnormal hair morphology
HP:0001596,Alopecia
HP:0001597,Abnormality of the nail
HP:0001600,Abnormality of the larynx
HP:0001608,Abnormality of the voice
HP:0001609,Hoarse voice
HP:0001626,Abnormality of the cardiovascular system
HP:0001627,Abnormal heart morphology
HP:0001629,Ventricular septal defect
HP:0001631,Atrial septal defect
HP:0001633,Abnormal mitral valve morphology
HP:0001634,Mitral valve prolapse
HP:0001635,Congestive heart failure
HP:0001637,Abnormal myocardium morphology
HP:0001638,Cardiomyopathy
HP:0001640,Cardiomegaly
HP:0001642,Pulmonic stenosis
HP:0001643,Patent ductus arteriosus
HP:0001645,Sudden cardiac death
HP:0001647,Bicuspid aortic valve
HP:0001648,Cor pulmonale
HP:0001649,Tachycardia
HP:0001654,Abnormal heart valve morphology
HP:0001671,Abnormal cardiac septum morphology
HP:0001677,Coronary artery atherosclerosis
HP:0001678,Atrioventricular block
HP:0001679,Abnormal aortic morphology
HP:0001680,Coarctation of aorta
HP:0001681,Angina pectoris
HP:0001695,Cardiac arrest
HP:0001699,Sudden death
HP:0001704,Tricuspid valve prolapse
HP:0001707,Abnormal right ventricle morphology
HP:0001713,Abnormal cardiac ventricle morphology
HP:0001733,Pancreatitis
HP:0001738,Exocrine pancreatic insufficiency
HP:0001743,Abnormality of the spleen
HP:0001744,Splenomegaly
HP:0001760,Abnormal foot morphology
HP:0001761,Pes cavus
HP:0001762,Talipes equinovarus
HP:0001763,Pes planus
HP:0001780,Abnormality of toe
HP:0001789,Hydrops fetalis
HP:0001790,Nonimmune hydrops fetalis
HP:0001798,Anonychia
HP:0001805,Onychogryposis
HP:0001824,Weight loss
HP:0001839,Split foot
HP:0001840,Metatarsus adductus
HP:0001871,Abnormality of blood and blood-forming tissues
HP:0001872,Abnormality of thrombocytes
HP:0001873,Thrombocytopenia
HP:0001874,Abnormality of neutrophils
HP:0001875,Neutropenia
HP:0001877,Abnormal erythrocyte morphology
HP:0001878,Hemolytic anemia
HP:0001881,Abnormal leukocyte morphology
HP:0001882,Leukopenia
HP:0001883,Talipes
HP:0001888,Lymphopenia
HP:0001892,Abnormal bleeding
HP:0001894,Thrombocytosis
HP:0001895,Normochromic anemia
HP:0001896,Reticulocytopenia
HP:0001899,Increased hematocrit
HP:0001901,Polycythemia
HP:0001903,Anemia
HP:0001909,Leukemia
HP:0001911,Abnormal granulocyte morphology
HP:0001917,Renal amyloidosis
HP:0001923,Reticulocytosis
HP:0001928,Abnormality of coagulation
HP:0001931,Hypochromic anemia
HP:0001933,Subcutaneous hemorrhage
HP:0001939,Abnormality of metabolism/homeostasis
HP:0001945,Fever
HP:0001952,Glucose intolerance
HP:0001956,Truncal obesity
HP:0001965,Abnormal scalp morphology
HP:0001972,Macrocytic anemia
HP:0001974,Leukocytosis
HP:0001977,Abnormal thrombosis
HP:0001978,Extramedullary hematopoiesis
HP:0001982,Sea-blue histiocytosis
HP:0001987,Hyperammonemia
HP:0001999,Abnormal facial shape
HP:0002007,Frontal bossing
HP:0002011,Morphological central nervous system abnormality
HP:0002012,Abnormality of the abdominal organs
HP:0002014,Diarrhea
HP:0002015,Dysphagia
HP:0002017,Nausea and vomiting
HP:0002019,Constipation
HP:0002024,Malabsorption
HP:0002027,Abdominal pain
HP:0002031,Abnormal esophagus morphology
HP:0002034,Abnormal rectum morphology
HP:0002035,Rectal prolapse
HP:0002037,Inflammation of the large intestine
HP:0002039,Anorexia
HP:0002059,Cerebral atrophy
HP:0002060,Abnormal cerebral morphology
HP:0002063,Rigidity
HP:0002067,Bradykinesia
HP:0002069,Bilateral tonic-clonic seizure
HP:0002071,Abnormality of extrapyramidal motor function
HP:0002072,Chorea
HP:0002076,Migraine
HP:0002086,Abnormality of the respiratory system
HP:0002087,Abnormality of the upper respiratory tract
HP:0002088,Abnormal lung morphology
HP:0002090,Pneumonia
HP:0002093,Respiratory insufficiency
HP:0002094,Dyspnea
HP:0002098,Respiratory distress
HP:0002099,Asthma
HP:0002103,Abnormal pleura morphology
HP:0002105,Hemoptysis
HP:0002107,Pneumothorax
HP:0002118,Abnormal cerebral ventricle morphology
HP:0002119,Ventriculomegaly
HP:0002140,Ischemic stroke
HP:0002141,Gait imbalance
HP:0002143,Abnormality of the spinal cord
HP:0002150,Hypercalciuria
HP:0002164,Nail dysplasia
HP:0002167,Neurological speech impairment
HP:0002170,Intracranial hemorrhage
HP:0002174,Postural tremor
HP:0002185,Neurofibrillary tangles
HP:0002198,Dilated fourth ventricle
HP:0002205,Recurrent respiratory infections
HP:0002209,Sparse scalp hair
HP:0002240,Hepatomegaly
HP:0002242,Abnormal intestine morphology
HP:0002244,Abnormality of the small intestine
HP:0002250,Abnormal large intestine morphology
HP:0002269,Abnormality of neuronal migration
HP:0002270,Abnormality of the autonomic nervous system
HP:0002300,Mutism
HP:0002301,Hemiplegia
HP:0002311,Incoordination
HP:0002315,Headache
HP:0002321,Vertigo
HP:0002322,Resting tremor
HP:0002326,Transient ischemic attack
HP:0002345,Action tremor
HP:0002346,Head tremor
HP:0002350,Cerebellar cyst
HP:0002354,Memory impairment
HP:0002357,Obsolete Dysphasia
HP:0002360,Sleep disturbance
HP:0002373,Febrile seizure (within the age range of 3 months to 6 years)
HP:0002384,Focal impaired awareness seizure
HP:0002411,Myokymia
HP:0002423,Long-tract signs
HP:0002438,Cerebellar malformation
HP:0002451,Limb dystonia
HP:0002488,Acute leukemia
HP:0002493,Upper motor neuron dysfunction
HP:0002500,Abnormal cerebral white matter morphology
HP:0002511,Alzheimer disease
HP:0002524,Cataplexy
HP:0002529,Neuronal loss in central nervous system
HP:0002538,Abnormal cerebral cortex morphology
HP:0002548,Parkinsonism with favorable response to dopaminergic medication
HP:0002570,Steatorrhea
HP:0002579,Gastrointestinal dysmotility
HP:0002583,Colitis
HP:0002595,Ileus
HP:0002597,Abnormality of the vasculature
HP:0002613,Biliary cirrhosis
HP:0002615,Hypotension
HP:0002621,Atherosclerosis
HP:0002625,Deep venous thrombosis
HP:0002633,Vasculitis
HP:0002634,Arteriosclerosis
HP:0002637,Cerebral ischemia
HP:0002639,Budd-Chiari syndrome
HP:0002644,Abnormal pelvic girdle bone morphology
HP:0002648,Obsolete Abnormality of calvarial morphology
HP:0002650,Scoliosis
HP:0002652,Skeletal dysplasia
HP:0002659,Increased susceptibility to fractures
HP:0002664,Neoplasm
HP:0002669,Osteosarcoma
HP:0002672,Gastrointestinal carcinoma
HP:0002683,Abnormal calvaria morphology
HP:0002693,Abnormality of the skull base
HP:0002697,Parietal foramina
HP:0002705,"High, narrow palate"
HP:0002715,Abnormality of the immune system
HP:0002716,Lymphadenopathy
HP:0002718,Recurrent bacterial infections
HP:0002719,Recurrent infections
HP:0002721,Immunodeficiency
HP:0002725,Systemic lupus erythematosus
HP:0002733,Abnormal lymph node morphology
HP:0002750,Delayed skeletal maturation
HP:0002751,Kyphoscoliosis
HP:0002757,Recurrent fractures
HP:0002758,Osteoarthritis
HP:0002761,Generalized joint laxity
HP:0002783,Recurrent lower respiratory tract infections
HP:0002793,Abnormal pattern of respiration
HP:0002795,Abnormal respiratory system physiology
HP:0002797,Osteolysis
HP:0002808,Kyphosis
HP:0002813,Abnormality of limb bone morphology
HP:0002814,Abnormality of the lower limb
HP:0002815,Abnormality of the knee
HP:0002817,Abnormality of the upper limb
HP:0002818,Abnormal morphology of the radius
HP:0002829,Arthralgia
HP:0002840,Lymphadenitis
HP:0002863,Myelodysplasia
HP:0002896,Neoplasm of the liver
HP:0002904,Hyperbilirubinemia
HP:0002910,Elevated hepatic transaminase
HP:0002926,Abnormality of thyroid physiology
HP:0002960,Autoimmunity
HP:0002977,Aplasia/Hypoplasia involving the central nervous system
HP:0002979,Bowing of the legs
HP:0002981,Abnormality of the calf
HP:0003011,Abnormality of the musculature
HP:0003028,Abnormality of the ankles
HP:0003045,Abnormal patella morphology
HP:0003073,Hypoalbuminemia
HP:0003077,Hyperlipidemia
HP:0003107,Abnormal circulating cholesterol concentration
HP:0003110,Abnormality of urine homeostasis
HP:0003111,Abnormal blood ion concentration
HP:0003119,Abnormal circulating lipid concentration
HP:0003124,Hypercholesterolemia
HP:0003141,Increased LDL cholesterol concentration
HP:0003179,Protrusio acetabuli
HP:0003196,Short nose
HP:0003198,Myopathy
HP:0003202,Skeletal muscle atrophy
HP:0003203,Impaired oxidative burst
HP:0003216,Generalized amyloid deposition
HP:0003236,Elevated circulating creatine kinase concentration
HP:0003256,Abnormality of the coagulation cascade
HP:0003271,Visceromegaly
HP:0003281,Increased circulating ferritin concentration
HP:0003298,Spina bifida occulta
HP:0003312,Abnormal form of the vertebral bodies
HP:0003319,Abnormality of the cervical spine
HP:0003330,Abnormal bone structure
HP:0003367,Abnormal femoral neck morphology
HP:0003394,Muscle spasm
HP:0003457,EMG abnormality
HP:0003458,EMG: myopathic abnormalities
HP:0003468,Abnormal vertebral morphology
HP:0003470,Paralysis
HP:0003473,Fatigable weakness
HP:0003474,Somatic sensory dysfunction
HP:0003508,Proportionate short stature
HP:0003510,Severe short stature
HP:0003549,Abnormality of connective tissue
HP:0003552,Muscle stiffness
HP:0003565,Elevated erythrocyte sedimentation rate
HP:0003645,Prolonged partial thromboplastin time
HP:0003691,Scapular winging
HP:0003808,Abnormal muscle tone
HP:0004209,Clinodactyly of the 5th finger
HP:0004279,Short palm
HP:0004297,Abnormality of the biliary system
HP:0004298,Abnormality of the abdominal wall
HP:0004299,Hernia of the abdominal wall
HP:0004303,Abnormal muscle fiber morphology
HP:0004305,Involuntary movements
HP:0004308,Ventricular arrhythmia
HP:0004311,Abnormal macrophage morphology
HP:0004312,Abnormal reticulocyte morphology
HP:0004313,Decreased circulating antibody level
HP:0004322,Short stature
HP:0004323,Abnormality of body weight
HP:0004325,Decreased body weight
HP:0004328,Abnormal anterior eye segment morphology
HP:0004332,Abnormal lymphocyte morphology
HP:0004333,Bone-marrow foam cells
HP:0004334,Dermal atrophy
HP:0004348,Abnormality of bone mineral density
HP:0004349,Reduced bone mineral density
HP:0004354,Abnormal circulating carboxylic acid concentration
HP:0004364,Abnormal circulating nitrogen compound concentration
HP:0004370,Abnormality of temperature regulation
HP:0004372,Reduced consciousness/confusion
HP:0004377,Hematological neoplasm
HP:0004378,Abnormality of the anus
HP:0004386,Gastrointestinal inflammation
HP:0004395,Malnutrition
HP:0004401,Meconium ileus
HP:0004404,Abnormal nipple morphology
HP:0004409,Hyposmia
HP:0004416,Precocious atherosclerosis
HP:0004431,Complement deficiency
HP:0004440,Coronal craniosynostosis
HP:0004442,Sagittal craniosynostosis
HP:0004443,Lambdoidal craniosynostosis
HP:0004447,Poikilocytosis
HP:0004796,Gastrointestinal obstruction
HP:0004808,Acute myeloid leukemia
HP:0004926,Orthostatic hypotension due to autonomic dysfunction
HP:0004936,Venous thrombosis
HP:0004947,Arteriovenous fistula
HP:0004950,Peripheral arterial stenosis
HP:0005105,Abnormal nasal morphology
HP:0005120,Abnormal cardiac atrium morphology
HP:0005177,Premature arteriosclerosis
HP:0005181,Premature coronary artery atherosclerosis
HP:0005198,Stiff interphalangeal joints
HP:0005214,Intestinal obstruction
HP:0005224,Rectal abscess
HP:0005280,Depressed nasal bridge
HP:0005281,Hypoplastic nasal bridge
HP:0005306,Capillary hemangioma
HP:0005339,Abnormality of complement system
HP:0005344,Abnormal carotid artery morphology
HP:0005356,Decreased serum complement factor I
HP:0005368,Abnormality of humoral immunity
HP:0005372,Abnormality of B cell physiology
HP:0005384,Defective B cell activation
HP:0005420,Recurrent gram-negative bacterial infections
HP:0005430,Recurrent Neisserial infections
HP:0005435,Impaired T cell function
HP:0005518,Increased mean corpuscular volume
HP:0005521,Disseminated intravascular coagulation
HP:0005532,Macrocytic dyserythropoietic anemia
HP:0005622,Broad long bones
HP:0005656,Positional foot deformity
HP:0005692,Joint hyperflexibility
HP:0005791,Cortical thickening of long bone diaphyses
HP:0005916,Abnormal metacarpal morphology
HP:0005918,Abnormal finger phalanx morphology
HP:0005922,Abnormal hand morphology
