description,n
Platelet count,5
Rectal prolapse,5
Renal insufficiency,5
Respiratory tract infection,5
Restlessness,5
Subcutaneous hemorrhage,5
Temporal measurement,5
Thrombocytopenia,5
Tremor,5
Triglyceride measurement,5
Unusual infection,5
Venous thrombosis,5
Waist-hip ratio,5
Abnormal adipose tissue morphology,4
Abnormal anterior eye segment morphology,4
Abnormal appendicular skeleton morphology,4
Abnormal autonomic nervous system physiology,4
Abnormal blood cation concentration,4
Abnormal cardiac ventricle morphology,4
Abnormal cerebral subcortex morphology,4
Abnormal circulating lipid concentration,4
Abnormal conjugate eye movement,4
Abnormal digit morphology,4
Abnormal enzyme/coenzyme activity,4
Abnormal eyelid morphology,4
Abnormal fear/anxiety-related behavior,4
Abnormal granulocyte morphology,4
Abnormal hair quantity,4
Abnormal heart valve physiology,4
Abnormal immune system morphology,4
Abnormal lower limb bone morphology,4
Abnormal lower lip morphology,4
Abnormal lymphocyte count,4
Abnormal lymphocyte physiology,4
Abnormal midface morphology,4
Abnormal morphology of the great vessels,4
Abnormal nasal bridge morphology,4
Abnormal ocular adnexa morphology,4
Abnormal renal cortex morphology,4
Abnormal renal glomerulus morphology,4
Abnormal systemic blood pressure,4
Abnormal thorax morphology,4
Abnormal urine protein level,4
Abnormal uvea morphology,4
Abnormality of blood circulation,4
Abnormality of coordination,4
Abnormality of dental eruption,4
Abnormality of globe location,4
Abnormality of lower limb joint,4
Abnormality of movement,4
Abnormality of neutrophils,4
Abnormality of temperature regulation,4
Abnormality of the bladder,4
Abnormality of the calf,4
Abnormality of the ear,4
Abnormality of the genital system,4
Abnormality of the lower urinary tract,4
Abnormality of the vertebral column,4
Abnormality of vision,4
Age at onset,4
Alopecia,4
Anemia (phenotype),4
Arteriosclerosis,4
Atherosclerosis,4
Autoimmune disease biomarker,4
Basophil count,4
Blood pressure,4
Body ratio measurement,4
Bone density,4
Bone fracture related measurement,4
Bone measurement,4
Bruising susceptibility,4
Complement deficiency,4
Cor pulmonale,4
Decreased circulating antibody level,4
Deep venous thrombosis,4
Dementia,4
Depression,4
Digestive system disease,4
Dysphagia,4
Eclabion,4
Erythrocyte count,4
Erythrocyte indices,4
Erythrocyte measurement,4
Gingival bleeding,4
Glucose intolerance,4
Glycoprotein measurement,4
Granulocyte count,4
Heel bone mineral density,4
Hematocrit,4
Hyperextensible skin,4
Hypothyroidism,4
Increased susceptibility to fractures,4
Inflammatory abnormality of the skin,4
Limb pain,4
Macrocytic anemia,4
Mean corpuscular hemoglobin,4
Mean corpuscular hemoglobin concentration,4
Mean platelet volume,4
Mean reticulocyte volume,4
Monocyte percentage of leukocytes,4
Nervous system disease,4
Pallor,4
Parkinsonism,4
Patent ductus arteriosus,4
Peripheral arterial stenosis,4
Peripheral neuropathy,4
Platelet crit,4
Proptosis,4
Proteinuria,4
Ptosis,4
Pulmonary function measurement,4
Purpura,4
QRS duration,4
Recurrent respiratory infections,4
Risk-taking behaviour,4
Seizure,4
Skin nodule,4
Sudden cardiac death,4
Systolic blood pressure,4
Ventricular arrhythmia,4
Abdominal pain,3
Abnormal LDL cholesterol concentration,3
Abnormal T cell count,3
Abnormal aortic morphology,3
Abnormal blistering of the skin,3
Abnormal calvaria morphology,3
Abnormal cellular phenotype,3
Abnormal cerebellum morphology,3
Abnormal circulating carboxylic acid concentration,3
Abnormal circulating cholesterol concentration,3
Abnormal circulating nitrogen compound concentration,3
Abnormal conjunctiva morphology,3
Abnormal coronary artery morphology,3
Abnormal ear morphology,3
Abnormal external genitalia,3
Abnormal granulocyte count,3
Abnormal hair pattern,3
Abnormal hand morphology,3
Abnormal hemoglobin,3
Abnormal jaw morphology,3
Abnormal lip morphology,3
Abnormal lymph node morphology,3
Abnormal lymphocyte morphology,3
Abnormal nasal morphology,3
Abnormal nephron morphology,3
Abnormal pinna morphology,3
Abnormal reproductive system morphology,3
Abnormal right ventricle morphology,3
Abnormal scalp morphology,3
Abnormal scapula morphology,3
Abnormal thrombosis,3
Abnormal thumb morphology,3
Abnormal upper lip morphology,3
Abnormal ventricular septum morphology,3
Abnormality of B cell physiology,3
Abnormality of binocular vision,3
Abnormality of body height,3
Abnormality of connective tissue,3
Abnormality of cranial sutures,3
Abnormality of extrapyramidal motor function,3
Abnormality of finger,3
Abnormality of refraction,3
Abnormality of the frontal hairline,3
Abnormality of the hairline,3
Abnormality of the knee,3
Abnormality of the larynx,3
Abnormality of the nail,3
Abnormality of the periorbital region,3
Abnormality of the peripheral nervous system,3
Abnormality of thrombocytes,3
Angina pectoris,3
Anorexia,3
Anxiety,3
Apathy,3
Apolipoprotein A 1 measurement,3
Arterial stenosis,3
Atrial septal defect,3
Atrophy/Degeneration affecting the central nervous system,3
BMI-adjusted waist-hip ratio,3
Biliary cirrhosis,3
Biliary tract abnormality,3
Body mass index,3
Bowing of the long bones,3
Brain disease,3
Cancer or benign tumor,3
Central nervous system disease,3
Cerebral infarct,3
Clubbing of fingers,3
Coarctation of aorta,3
Coronary artery atherosclerosis,3
Cutis laxa,3
Decreased circulating GABA concentration,3
Decreased forced expiratory flow 25-75%,3
Depressed nasal bridge,3
Dermatological manifestations of systemic disorders,3
Diarrhea,3
Diplopia,3
Elevated sweat chloride,3
Encephalopathy,3
Epicanthus,3
Epistaxis,3
Everted lower lip vermilion,3
FEV/FEC ratio,3
Failure to thrive,3
Fever,3
Fragile skin,3
Glaucoma,3
Headache,3
Hematological neoplasm,3
Hepatosplenomegaly,3
Hypochromic anemia,3
Ileus,3
Immunodeficiency,3
Increased blood pressure,3
Increased circulating ferritin concentration,3
Increased mean corpuscular volume,3
Intellectual disability,3
Ischemic stroke,3
Leukemia,3
Limitation of joint mobility,3
Lipodystrophy,3
Lipoprotein measurement,3
Liver enzyme measurement,3
Low anterior hairline,3
Lymphopenia,3
Macular purpura,3
Mechanical ileus,3
Meconium ileus,3
Migraine,3
Muscle weakness,3
Neoplasm of the gastrointestinal tract,3
Neutropenia,3
Neutrophil count,3
Normochromic anemia,3
Onychogryposis,3
Palmoplantar blistering,3
Persistence of hemoglobin F,3
Pulse pressure measurement,3
Red blood cell distribution width,3
Reduced forced expiratory volume in one second,3
Respiratory disease biomarker,3
Respiratory insufficiency,3
Resting tremor,3
Scoliosis,3
Serum alanine aminotransferase measurement,3
Serum urea measurement,3
Sex hormone measurement,3
Sleep disturbance,3
Somatic sensory dysfunction,3
Sprengel anomaly,3
Sudden death,3
Upper motor neuron dysfunction,3
Ventricular septal defect,3
Ventriculomegaly,3
Waist circumference,3
Wide nasal bridge,3
Abdominal wall defect,2
Abnormal T cell subset distribution,2
Abnormal aortic valve cusp morphology,2
Abnormal biliary tract morphology,2
Abnormal blood ion concentration,2
Abnormal blood potassium concentration,2
Abnormal bone structure,2
Abnormal cerebral white matter morphology,2
Abnormal circulating albumin concentration,2
Abnormal erythrocyte sedimentation rate,2
Abnormal female reproductive system physiology,2
Abnormal finger phalanx morphology,2
Abnormal forebrain morphology,2
Abnormal form of the vertebral bodies,2
Abnormal glucose homeostasis,2
Abnormal heart valve morphology,2
Abnormal macrophage morphology,2
Abnormal metaphysis morphology,2
Abnormal myocardium morphology,2
Abnormal number of erythroid precursors,2
Abnormal peripheral nervous system morphology,2
Abnormal pulmonary valve physiology,2
Abnormal pyramidal sign,2
Abnormal rectum morphology,2
Abnormal renal pelvis morphology,2
Abnormal sclera morphology,2
Abnormal shape of the frontal region,2
Abnormal upper limb bone morphology,2
Abnormality of coagulation,2
Abnormality of joint mobility,2
Abnormality of muscle size,2
Abnormality of reproductive system physiology,2
Abnormality of skin pigmentation,2
Abnormality of the abdominal wall,2
Abnormality of the cervical spine,2
Abnormality of the curvature of the vertebral column,2
Abnormality of the elbow,2
Abnormality of the endocrine system,2
Abnormality of the fontanelles or cranial sutures,2
Abnormality of the menstrual cycle,2
Abnormality of the outer ear,2
Abnormality of the spinal cord,2
Abnormality of the supraorbital ridges,2
Abnormality of the thenar eminence,2
Abnormality of the thyroid gland,2
Abnormality of the ureter,2
Abnormality of the urethra,2
Abnormality of thumb phalanx,2
Abnormality of upper limb joint,2
Abnormality of venous physiology,2
Abscess,2
Absent thumb,2
Acute leukemia,2
Adenocarcinoma of the colon,2
Age at assessment,2
Alzheimer disease,2
Aortic atherosclerotic lesion,2
Arteriovenous fistula,2
Asthma,2
Ataxia,2
Atrophic scars,2
Autoimmunity,2
BMI-adjusted hip circumference,2
Bicuspid aortic valve,2
Blistering by anatomical location,2
Blue sclerae,2
Body weight,2
Bowing of the legs,2
Brain volume measurement,2
Cancer,2
Cancer biomarker measurement,2
Capillary hemangioma,2
Cardiac arrest,2
Cerebellar cyst,2
Cerebellar malformation,2
Cerebral inclusion bodies,2
Cholestasis,2
Chronic lung disease,2
Chronic pulmonary obstruction,2
Cognition,2
Cognitive function measurement,2
Colitis,2
Confusion,2
Congestive heart failure,2
Corneal arcus,2
Cytokine measurement,2
Decreased serum terminal complement component,2
Delayed eruption of teeth,2
Dermal atrophy,2
Diastolic blood pressure,2
Diminished motivation,2
Disseminated intravascular coagulation,2
Distal renal tubular acidosis,2
Dysarthria,2
Dystonia,2
Ectrodactyly,2
Eczema,2
Electrocardiography,2
Elevated erythrocyte sedimentation rate,2
Elevated red cell adenosine deaminase level,2
Emotional lability,2
Eosinophil count,2
Epileptic encephalopathy,2
Eye disease,2
Frontal bossing,2
Functional abnormality of the bladder,2
Gastrointestinal carcinoma,2
Gastrointestinal dysmotility,2
Glomerulopathy,2
Glucose measurement,2
Gut microbiome measurement,2
Hair morphology measurement,2
Hallucinations,2
Heart disease,2
Heart rate,2
Hepatocellular carcinoma,2
Hernia,2
Hernia of the abdominal wall,2
Hypercholesterolemia,2
Hyperlipoproteinemia,2
Hyperpigmentation of the skin,2
Hypertonia,2
Hypotension,2
Hypotonia,2
Immunologic hypersensitivity,2
Increased LDL cholesterol concentration,2
Inflammation of the large intestine,2
Inflammatory abnormality of the eye,2
Integumentary system disease,2
Intelligence,2
Intraocular pressure measurement,2
Jaundice,2
Joint hyperflexibility,2
Knee flexion contracture,2
Lattice corneal dystrophy,2
Lethargy,2
Long-tract signs,2
Low density lipoprotein cholesterol measurement,2
Lymphadenopathy,2
Lymphocyte percentage of leukocytes,2
Macrocytic dyserythropoietic anemia,2
Malabsorption,2
Malignant genitourinary tract tumor,2
Malnutrition,2
Membranoproliferative glomerulonephritis,2
Memory impairment,2
Meningitis,2
Metabolite measurement,2
Micrographia,2
Microtia,2
Mortality,2
Muscle spasm,2
Mutism,2
Myoclonus,2
Myokymia,2
Nausea and vomiting,2
Neoplasm by histology,2
Neoplasm of the genitourinary tract,2
Neoplasm of the skeletal system,2
Nervous system measurement,2
Neuronal loss in central nervous system,2
Neutrophil percentage of leukocytes,2
Ocular anterior segment dysgenesis,2
Osteolysis,2
Osteopenia,2
Osteoporosis,2
Osteosarcoma,2
PR interval,2
Palpebral edema,2
Periorbital edema,2
Peripheral opacification of the cornea,2
Petechiae,2
Platelet component distribution width,2
Pneumonia,2
Poikilocytosis,2
Positional foot deformity,2
Postural tremor,2
Prolonged partial thromboplastin time,2
Psychosis,2
Pulmonic stenosis,2
Recurrent bacterial infections,2
Recurrent bronchopulmonary infections,2
Renal steatosis,2
Renal system measurement,2
Reticulocytopenia,2
Rieger anomaly,2
Sepsis,2
Serum gamma-glutamyl transferase measurement,2
Sex hormone-binding globulin measurement,2
Short finger,2
Short thumb,2
Sinusitis,2
Slanting of the palpebral fissure,2
Sleep measurement,2
Smoking behavior,2
Spasticity,2
Strabismus,2
Subcutaneous nodule,2
Talipes,2
Tall stature,2
Telecanthus,2
Tendon xanthomatosis,2
Thickened skin,2
Transferrin saturation measurement,2
Unusual CNS infection,2
Webbed neck,2
Weight loss,2
Xanthelasma,2
Abnormal aortic valve physiology,1
Abnormal atrial septum morphology,1
Abnormal atrioventricular valve morphology,1
Abnormal blood glucose concentration,1
Abnormal blood monovalent inorganic cation concentration,1
Abnormal breast morphology,1
Abnormal cardiac atrium morphology,1
Abnormal carotid artery morphology,1
Abnormal cerebral artery morphology,1
Abnormal cerebral cortex morphology,1
Abnormal circulating bilirubin concentration,1
Abnormal circulating creatine kinase concentration,1
Abnormal circulating dicarboxylic acid concentration,1
Abnormal circulating ferritin concentration,1
Abnormal circulating non-proteinogenic amino acid concentration,1
Abnormal cornea morphology,1
Abnormal corpus callosum morphology,1
Abnormal diaphysis morphology,1
Abnormal electrophysiology of sinoatrial node origin,1
Abnormal esophagus morphology,1
Abnormal external nose morphology,1
Abnormal eyelash morphology,1
Abnormal eyelid physiology,1
Abnormal femoral neck morphology,1
Abnormal fingernail morphology,1
Abnormal fingertip morphology,1
Abnormal fundus morphology,1
Abnormal heart sound,1
Abnormal intermamillary distance,1
Abnormal internal genitalia,1
Abnormal larynx morphology,1
Abnormal lens morphology,1
Abnormal localization of kidney,1
Abnormal lymphocyte proliferation,1
Abnormal mean corpuscular volume,1
Abnormal metacarpal morphology,1
Abnormal mitral valve morphology,1
Abnormal morphology of female internal genitalia,1
Abnormal morphology of the radius,1
Abnormal muscle fiber morphology,1
Abnormal nasal dorsum morphology,1
Abnormal neck morphology,1
Abnormal neutrophil count,1
Abnormal nipple morphology,1
Abnormal ovarian morphology,1
Abnormal palm morphology,1
Abnormal patella morphology,1
Abnormal pelvic girdle bone morphology,1
Abnormal pleura morphology,1
Abnormal posterior cranial fossa morphology,1
Abnormal shape of the occiput,1
Abnormal social behavior,1
Abnormal sternum morphology,1
Abnormal tendon morphology,1
Abnormal testis morphology,1
Abnormal ureter morphology,1
Abnormal ureter physiology,1
Abnormal vertebral morphology,1
Abnormality iris morphology,1
Abnormality of bladder morphology,1
Abnormality of bone mineral density,1
Abnormality of complement system,1
Abnormality of corneal size,1
Abnormality of dental morphology,1
Abnormality of dental structure,1
Abnormality of fontanelles,1
Abnormality of globe size,1
Abnormality of hepatobiliary system physiology,1
Abnormality of male external genitalia,1
Abnormality of mouth size,1
Abnormality of neuronal migration,1
Abnormality of pancreas physiology,1
Abnormality of primary teeth,1
Abnormality of skeletal maturation,1
Abnormality of subcutaneous fat tissue,1
Abnormality of the ankles,1
Abnormality of the anus,1
Abnormality of the autonomic nervous system,1
Abnormality of the chin,1
Abnormality of the coagulation cascade,1
Abnormality of the common coagulation pathway,1
Abnormality of the female genitalia,1
Abnormality of the male genitalia,1
Abnormality of the musculature of the hand,1
Abnormality of the musculature of the limbs,1
Abnormality of the musculature of the upper limbs,1
Abnormality of the ovary,1
Abnormality of the palpebral fissures,1
Abnormality of the plantar skin of foot,1
Abnormality of the small intestine,1
Abnormality of the voice,1
Abnormality of thyroid physiology,1
Abnormality of toe,1
Abnormality of upper lip vermillion,1
Action tremor,1
Acute myeloid leukemia,1
Age at menarche,1
Alpha wave measurement,1
Alzheimers disease biomarker measurement,1
Amino acid measurement,1
Ankle clonus,1
Anonychia,1
Antibody measurement,1
Apolipoprotein B measurement,1
Ascites,1
Aspartate aminotransferase measurement,1
Aspartate aminotransferase to alanine aminotransferase ratio,1
Asymmetric growth,1
Atrioventricular block,1
Atrophy/Degeneration affecting the cerebrum,1
Avascular necrosis,1
Bilateral ptosis,1
Bilateral tonic-clonic seizure,1
Blepharochalasis,1
Blepharospasm,1
Bone cyst,1
Bone-marrow foam cells,1
Bradykinesia,1
Brain atrophy,1
Broad long bones,1
Broad phalanx,1
Camptodactyly,1
Carcinoma,1
Cardiac amyloidosis,1
Cardiac arrhythmia,1
Cardiac conduction abnormality,1
Cardiomegaly,1
Cardiomyopathy,1
Carious teeth,1
Cataplexy,1
Cataract,1
Cellulitis,1
Cerebral artery atherosclerosis,1
Cerebral atrophy,1
Cerebral hemorrhage,1
Cerebral microbleeds,1
Chest pain,1
Choanal atresia,1
Chorea,1
Clinodactyly of the 5th finger,1
Coffee consumption measurement,1
Coloboma,1
Coma,1
Concave nasal ridge,1
Conjunctivitis,1
Constipation,1
Coronary artery aneurysm,1
Cortical thickening of long bone diaphyses,1
Cutis marmorata,1
Cystic renal dysplasia,1
Dandy-Walker malformation,1
Decreased liver function,1
Decreased plasma total carnitine,1
Decreased serum complement factor I,1
Deep vein thrombosis,1
Defective B cell activation,1
Delayed eruption of permanent teeth,1
Delayed puberty,1
Delayed skeletal maturation,1
Delusions,1
Dental crowding,1
Depressed nasal ridge,1
Deviation of the 5th finger,1
Diabetes mellitus biomarker,1
Dilated fourth ventricle,1
Disease progression measurement,1
Disinhibition,1
Displacement of the urethral meatus,1
Downslanted palpebral fissures,1
Drug use measurement,1
Duplication of phalanx of hand,1
EMG abnormality,1
EMG: myopathic abnormalities,1
Ecchymosis,1
Echolalia,1
Ectopic calcification,1
Eczematoid dermatitis,1
Elevated alpha-fetoprotein,1
Elevated circulating creatine kinase concentration,1
Elevated hepatic transaminase,1
Emphysema imaging measurement,1
Endocrine system disease,1
Endothelial growth factor measurement,1
Environmental exposure measurement,1
Erectile dysfunction,1
Erythema,1
Erythrocyte inclusion bodies,1
Excessive wrinkled skin,1
Exocrine pancreatic insufficiency,1
Extramedullary hematopoiesis,1
Family history of Alzheimer’s disease,1
Fatigable weakness,1
Febrile seizure (within the age range of 3 months to 6 years),1
Fingernail dysplasia,1
Flexion contracture,1
Flexion contracture of digit,1
Focal impaired awareness seizure,1
Focal motor seizure,1
Focal-onset seizure,1
Forced expiratory volume,1
Frontal lobe dementia,1
Gait disturbance,1
Gait imbalance,1
Gastrointestinal inflammation,1
Gastrointestinal obstruction,1
Generalized amyloid deposition,1
Generalized bronze hyperpigmentation,1
Generalized edema,1
Generalized hyperpigmentation,1
Generalized joint laxity,1
Gingival overgrowth,1
Glomerular filtration rate,1
Hair colour measurement,1
Health literacy measurement,1
Heart block,1
Heart murmur,1
Heinz bodies,1
Hemiplegia,1
Heschls gyrus morphology measurement,1
High density lipoprotein cholesterol measurement,1
"High, narrow palate",1
Hoarse voice,1
Horseshoe kidney,1
Hydronephrosis,1
Hyperammonemia,1
Hyperbilirubinemia,1
Hypercalciuria,1
Hyperkeratosis,1
Hyperlipidemia,1
Hypermelanotic macule,1
Hyperreflexia,1
Hypertension,1
Hypoalbuminemia,1
Hypoplastic nasal bridge,1
Hyposmia,1
Hypoxemia,1
Impaired T cell function,1
Impaired neutrophil bactericidal activity,1
Impaired oxidative burst,1
Impaired social interactions,1
Impotence,1
Incoordination,1
Increased hematocrit,1
Inguinal hernia,1
Intestinal atresia,1
Intestinal obstruction,1
Intracranial cystic lesion,1
Iris coloboma,1
Iron biomarker measurement,1
Irregular hyperpigmentation,1
Irritability,1
Joint contracture,1
Joint contracture of the hand,1
Joint damage measurement,1
Joint dislocation,1
Joint hypermobility,1
Joint subluxation,1
Joint swelling,1
Juvenile aseptic necrosis,1
Kyphoscoliosis,1
Kyphosis,1
Labial hypertrophy,1
Large fontanelles,1
Laryngospasm,1
Late-onset Alzheimers disease,1
Leucine carboxyl methyltransferase 1 measurement,1
Leukocytosis,1
Leukopenia,1
Lewy body dementia measurement,1
Limb dystonia,1
Limb undergrowth,1
Liver disease biomarker,1
Liver fibrosis measurement,1
Long fingers,1
Longevity,1
Lower limb asymmetry,1
Lymphadenitis,1
Macule,1
Malar flattening,1
Male sexual dysfunction,1
Mental or behavioural disorder,1
Methemoglobinemia,1
Microbiome measurement,1
Microcornea,1
Microdontia,1
Micrognathia,1
Micronodular cirrhosis,1
Microphthalmia,1
Mitral valve prolapse,1
Muscle stiffness,1
Myelodysplasia,1
Myocardial steatosis,1
Myopathy,1
Nail dysplasia,1
Narrow nasal bridge,1
Natal tooth,1
Neoplasm of the colon,1
Neoplasm of the large intestine,1
Neoplasm of the liver,1
Neoplasm of the respiratory system,1
Neoplasm of the skin,1
Neurofibrillary tangles,1
Obsolete Abnormality of calvarial morphology,1
Obsolete Abnormality of the shape of the midface,1
Obsolete Dysphasia,1
Omphalocele,1
Onychogryposis of fingernail,1
Opacification of the corneal stroma,1
Oral cavity bleeding,1
Oral ulcer,1
Orthostatic hypotension,1
Orthostatic hypotension due to autonomic dysfunction,1
Osteoarthritis,1
Osteochondrosis,1
Pancreatitis,1
Paralysis,1
Parietal foramina,1
Parkinsonism with favorable response to dopaminergic medication,1
Partial thromboplastin time,1
Peak expiratory flow,1
Pectus excavatum,1
Pedal edema,1
Periodontitis,1
Peripheral arteriovenous fistula,1
Personality changes,1
Personality trait measurement,1
Pes cavus,1
Pes planus,1
Physical activity measurement,1
Pneumothorax,1
Polycythemia,1
Precocious atherosclerosis,1
Precocious puberty,1
Premature arteriosclerosis,1
Premature coronary artery atherosclerosis,1
Premature skin wrinkling,1
Premature thelarche,1
Prematurely aged appearance,1
Protrusio acetabuli,1
Pruritus,1
Puberty and gonadal disorders,1
Rectal abscess,1
Recurrent Neisserial infections,1
Recurrent fractures,1
Recurrent gram-negative bacterial infections,1
Recurrent lower respiratory tract infections,1
Recurrent pneumonia,1
Recurrent skin infections,1
Red blood cell density measurement,1
Red eye,1
Reduced bone mineral density,1
Reduced forced vital capacity,1
Renal amyloidosis,1
Respiratory distress,1
Restless legs,1
Reticulocytosis,1
Retinopathy,1
Rigidity,1
Saccadic smooth pursuit,1
Sarcoma,1
Scaling skin,1
Scapular winging,1
Sea-blue histiocytosis,1
Seizure precipitated by febrile infection,1
Sensory neuropathy,1
Septic shock,1
Serum albumin measurement,1
Serum iron measurement,1
Severe infection,1
Severe periodontitis,1
Short neck,1
Short nose,1
Skeletal dysplasia,1
Skeletal muscle atrophy,1
Skin rash,1
Sleep duration,1
Smoking initiation,1
Snoring measurement,1
Social and occupational deterioration,1
Soft skin,1
Sparse hair,1
Sparse scalp hair,1
Sphingolipid measurement,1
Steatorrhea,1
Stiff interphalangeal joints,1
Susceptibility to infectious disease measurement,1
Systemic lupus erythematosus,1
Tachycardia,1
Talipes equinovarus,1
Tauopathy,1
Thick vermilion border,1
Thin corpus callosum,1
Thin skin,1
Thin upper lip vermilion,1
Thin vermilion border,1
Total cholesterol measurement,1
Transient ischemic attack,1
Tremor by anatomical site,1
Tricuspid valve prolapse,1
Truncal obesity,1
Type 1 muscle fiber atrophy,1
Unusual fungal infection,1
Upper-limb joint contracture,1
Urate measurement,1
Vascular disease,1
Vasculitis,1
Vertigo,1
Vital capacity,1
Vitiligo,1
White matter hyperintensity measurement,1
Wide intermamillary distance,1
Xanthomatosis,1
